Conservatory of Recording Arts and Sciences	Robert Venable	Growing up in Springdale, AR, Robert Venable performed in several bands and eventually made the decision that he wanted to pursue a career in music. He attended the Conservatory of Recording Arts and Sciences in Tempe, AZ, where he graduated top of his class. While in school, Robert interned at several studios in the Phoenix metropolitan area, such as The Saltmine Studios and Phase Four, quickly making the transition from assisting to engineering. In 2005, he was hired as head engineer at Paradise West Recording Studios in Scottsdale, AZ. In 2009, Robert relocated to Nashville, TN and worked in various studios as he built his own.	 performed in several bands and eventually made the decision that he wanted to pursue a career in music. He attended the 	yes
University of Toronto	Henry Farrell	Henry Farrell is an Irish-born political scientist at George Washington University. He previously taught at the University of Toronto and earned his PhD from Georgetown University. His research interests include, trust and co-operation; E-commerce; the European Union; and institutional theory.	 is an Irish-born political scientist at George Washington University. He previously taught at the 	no
American University of Beirut	Samir Hulileh	Samir Hulileh (also Hleileh, Huleileh, Arabic سمير حليلة), born in Kuwait in 1957, is the Chief Executive Officer of Palestine Development and Investment Ltd. (PADICO) Palestine. After receiving an MA in Economics from the American University of Beirut in 1983, Hulileh went on to join the board of the Palestine Banking Corporation, in 1988, after which he became the Managing Director of the Ramallah branch of The Portland Trust. He was also Cabinet Secretary to the Palestinian Authority in 2006. He was former Assistant Under Secretary for the Ministry of the Economy and Trade between 1994 and 1997. He is also Chairman of the Board of Palestine International Business Forum and Chairman of Portland Trust, Ramallah. He has also been the Chairman of the Board of the Palestine Trade Organisation (PalTRADE) and has represented Palestinian businesses and Palestinian economic development across the world. He graduated with an MSc Economics from the American University of Beirut (1983). He has worked at Birzeit University. He was one of the Board of Directors for the Palestinian Banking Corporation and also serves on the Board of the Applied Research Institute (ARIJ) in Bethlehem and the Arab Thought Forum in Jerusalem.	 (also Hleileh, Huleileh, Arabic سمير حليلة), born in Kuwait in 1957, is the Chief Executive Officer of Palestine Development and Investment Ltd. (PADICO) Palestine. After receiving an MA in Economics from the 	no
Royal Academy of Dramatic Art	Reginald Gardiner	Reginald Gardiner (27 February 1903 -- 7 July 1980) was an English-born actor in film and television and a graduate of the Royal Academy of Dramatic Arts in Britain. His parents wanted him to be an architect and he studied at it but he wanted to be an actor and eventually got his way.	 (27 February 1903 -- 7 July 1980) was an English-born actor in film and television and a graduate of the 	yes
New York University	Adam Savage	Adam Savage began acting as a child, and has had five years of acting school. His early credits include voicing animated characters that his father produced for Sesame Street, Mr. Whipple's stock boy ``Jimmy'' in a Charmin commercial, a helper in the special effects of Star Wars, and a drowning young man saved by a lifeguard in the 1985 Billy Joel music video ``You're Only Human (Second Wind).'' He attended New York University's Tisch School of the Arts for acting for six months before dropping out.	 began acting as a child, and has had five years of acting school. His early credits include voicing animated characters that his father produced for Sesame Street, Mr. Whipple's stock boy ``Jimmy'' in a Charmin commercial, a helper in the special effects of Star Wars, and a drowning young man saved by a lifeguard in the 1985 Billy Joel music video ``You're Only Human (Second Wind).'' He attended 	yes
University of Toronto	Lydia Makhubu	Lydia Makhubu (born 1927) is a Swaziland chemist. The Vice-Chancellor of the University of Swaziland from 1988 to 2003, she attended the University of Toronto where she studied medicinal chemistry.	 (born 1927) is a Swaziland chemist. The Vice-Chancellor of the University of Swaziland from 1988 to 2003, she attended the 	yes
Simon Fraser University	Cary Fowler	Cary Fowler (born 1949, in Memphis, Tennessee) is the executive director of the Global Crop Diversity Trust, based in Rome, Italy. Previously, Fowler was Professor and Director of Research in the Department for International Environment & Development Studies at the Norwegian University of Life Sciences in Ås, Norway. Fowler holds a B.A. (Hon.) degree from Simon Fraser University in Canada, and a Ph.D degree from Uppsala University in Sweden. He was given an honorary Doctorate of Law degree from Simon Fraser University and an Honorary Doctorate of Science from Rhodes College. Fowler received the Right Livelihood Award with Pat Mooney in 1985 for his work in agriculture and the preservation of biodiversity. In 2010, he was one of ten recipients of the 16th Heinz Awards (with special focus on global change). Following the massive media attention around the Svalbard Global Seed Vault, Fowler appeared on the CBS news show 60 Minutes and was profiled in The New Yorker magazine.	 (born 1949, in Memphis, Tennessee) is the executive director of the Global Crop Diversity Trust, based in Rome, Italy. Previously, Fowler was Professor and Director of Research in the Department for International Environment & Development Studies at the Norwegian University of Life Sciences in Ås, Norway. Fowler holds a B.A. (Hon.) degree from 	no
WCW Power Plant	Bobby Eaton	During and after his years as a manager, knowing that his in-ring career was long since over, Yamamoto continued to contribute to the wrestling business as a prolific trainer. The impact he had on the world of professional wrestling through his training is far-reaching and spans across generations and promotions. He trained dozens of wrestlers who in turn went on to train scores, perhaps hundreds, of additional performers. An example of one of his trainees who went on to teach future generations is Bobby Eaton. Eaton trained countless hopefuls at the WCW Power Plant, but he was also known for his informal coaching of countless younger talent in WCW. He would often go out of his way to make himself available whether it be backstage, in the ring, or most commonly on the road driving long distances from town to town. Like Yamamoto, he was never considered a ``main-eventer'', but both had a reputation and willingness to help their opponents look good in the ring and get better from just being in the ring with them.	. Eaton trained countless hopefuls at the 	no
University of Puerto Rico	Rafael O'Ferrall	O'Ferrall (birth name: Rafael O'Ferrall Cordova) was born to Victor Manuel O'Ferrall Sr., from Santurce and Blanca Rose Cordova, a nurse from the town of Yabucoa. His parents moved to the United States from Puerto Rico in search for a better way of life and lived in New York City where O'Ferrall was born. When he was 5 years old, he was sent to live with his grandmother in Puerto Rico where he received his primary and secondary education. In the 1960s O'Ferrall's mother returned to Puerto Rico upon the death of his grandmother. He was enrolled at Dr. Jose M. Lazaro High School in Carolina, Puerto Rico, where he excelled in sports. In 1972, he was asked by the Puerto Rican Olympic Committee to represent Puerto Rico in the Munich Olympics in the track and field events, however he was later substituted by the more experienced Luis Alers. After he graduated from high school in 1973, he enrolled in the University of Puerto Rico and participated in various competitions as member of the track and field team of his Alma Mater. In 1974, he represented the island in the XII Central American and Caribbean Games which were celebrated in Santo Domingo, Dominican Republic. During his student years he became a member of the university's Reserve Officer Training Corps program, which is also known as ROTC. He earned his Bachelor of Science degree with a concentration on Natural Science on June 20, 1978 and was commissioned a Second Lieutenant in the Army National Guard that same year.	 Cordova) was born to Victor Manuel O'Ferrall Sr., from Santurce and Blanca Rose Cordova, a nurse from the town of Yabucoa. His parents moved to the United States from Puerto Rico in search for a better way of life and lived in New York City where O'Ferrall was born. When he was 5 years old, he was sent to live with his grandmother in Puerto Rico where he received his primary and secondary education. In the 1960s O'Ferrall's mother returned to Puerto Rico upon the death of his grandmother. He was enrolled at Dr. Jose M. Lazaro High School in Carolina, Puerto Rico, where he excelled in sports. In 1972, he was asked by the Puerto Rican Olympic Committee to represent Puerto Rico in the Munich Olympics in the track and field events, however he was later substituted by the more experienced Luis Alers. After he graduated from high school in 1973, he enrolled in the 	yes
University of Texas at Austin	Monica Lynn	Monica Lynn is an American composer who lives and works in the San Francisco Bay area. She graduated with a Bachelor of Music degree from the University of Texas at Austin, where she studied with Stefan Kostka, David Neumeyer and Forrest Pierce. She continued her education at the University of Missouri in Kansas City where she studied with James Mobberley, Paul Rudy, Chen Yi, Zhou Long, and at the University of California, Santa Cruz where she graduated with a Doctor of Musical Arts degree, studying with David Cope, Karlton Hester, David Evan Jones, Hi Kyung Kim, Paul Nauert and Peter Elsea.	 is an American composer who lives and works in the San Francisco Bay area. She graduated with a Bachelor of Music degree from the 	no
Utrecht University	Ralph van Deusen	Ralph van Deusen attended Utrecht University and Hogeschool Sint-Lukas Brussel where he studied audiovisual Arts. 1996 he moved to Los Angeles. Due to an illness in his childhood, Ralph van Deusen suffers of Aphasia. He makes his living working as a screenwriter and ghostwriter.	 attended 	yes
Samford University	Jimmy Tillette	Travis James Peterson (born May 18, 1985, in Glendale, Arizona) is an American professional international basketball player. The 6 foot 10 inch and 225 lbs. center/power forward is a former NCAA Division 1 collegiate athlete. He played five seasons (2003--2008) at Samford University under head coach, Jimmy Tillette, mostly playing the center position. He graduated from Samford in 2008. He attended Mountain Ridge High School in Glendale, Arizona which is where he was born and raised. He currently plays professionally for the Eurochallenge League contenders, BK Prostejov located in the Czech Republic.	 under head coach, 	yes
Habibia High School	Abdul Ahad Karzai	Karzai was born in 1961 in the village of Karz, located in the Dand district of Kandahar in Afghanistan. He is the son of Abdul Ahad Karzai and brother of Afghan President Hamid Karzai, Mahmud Karzai and Quayum Karzai. He attended Habibia High School in Kabul but was not able to finish his studies due to the Soviet war in Afghanistan. He migrated to neighbouring Pakistan and then went to the United States where lived for about ten years. He married there and has two sons and three daughters.	 and brother of Afghan President Hamid Karzai, Mahmud Karzai and Quayum Karzai. He attended 	yes
Royal Conservatory of The Hague	Matthew Baker	Matthew Baker was born in Sydney and received his BA in Medieval Studies from the University of Sydney in 1997. After serving as a Lay Vicar in the choir of St. Patrick's Cathedral, Dublin, he studied early music vocal performance at the Royal Conservatory of The Hague, receiving a Master of Music degree in 2005. That same year he sang the role of Sylvandre in a production of André Campra's L'Europe galante conducted by William Christie which toured to cities in France and Spain. He sang the roles of Giove and Nettuno in the first modern performance of Gioseffo Zamponi's 1650 opera Ulisse all Isola di Circe at the Festival Printemps Baroque du Sablon (Spring Festival of Baroque at the Sablon/Zavel) in Brussels in 2006. In 2006 he also won the Handel's Messiah Bass Arias prize in the 12th Concorso Internazionale di Canto Solistico of the Fondazione Seghizzi in Gorizia.	 was born in Sydney and received his BA in Medieval Studies from the University of Sydney in 1997. After serving as a Lay Vicar in the choir of St. Patrick's Cathedral, Dublin, he studied early music vocal performance at the 	no
Central Saint Martins	Mark Titchner	Mark Titchner was born in Luton. He graduated from Central Saint Martins College of Art and Design, London, in 1995.	 was born in Luton. He graduated from 	yes
Merchant Taylors' School, Northwood	Adrian Jack	Adrian Jack was born on 16 March 1943, in Datchet, near Slough, Buckinghamshire, England. He was educated at Merchant Taylors' School, Northwood (1954--60), and the Royal College of Music, London (1961--64), where he studied composition with Peter Racine Fricker, fugue and orchestration with Gordon Jacob, piano with Antony Hopkins and organ with John Birch. From 1967 to 1969 he studied composition and electronic music with Włodzimierz Kotoński at the State Higher School of Music in Warsaw, Poland.	 was born on 16 March 1943, in Datchet, near Slough, Buckinghamshire, England. He was educated at 	yes
United States Military Academy	Lewis	There are five Forts DeRussy in the United States. Fort DeRussy Military Reservation in Honolulu, two in Louisiana, one in Kentucky, and one in Washington, D.C. The latter four were all built during the American Civil War. All of the forts were named for two brothers, Lewis and René Edward De Russy. Lewis was also a graduate of the United States Military Academy at West Point. Lewis was the oldest West Point graduate to serve in the Confederate Army, while older brother Rene served on the Union side.	 and René Edward De Russy. Lewis was also a graduate of the 	no
Johns Hopkins University	David S. Guzick	David S. Guzick was born in New York, New York in 1952, and grew up in Brooklyn, New York. He graduated from New York University with a bachelor's degree of arts in math and economics in 1972. He then was admitted to the New York University Medical Scientist Training Program where he received both his doctor of medicine and his doctorate in economics in 1979. In 1982 he completed his residency at Johns Hopkins University in Obstetrics and Gynecology. He was recruited to University of Texas Health Science Center at Dallas (UTHSCD) as a Fellow in Reproductive Endocrinology under Director Paul MacDonald, M.D.	 was born in New York, New York in 1952, and grew up in Brooklyn, New York. He graduated from New York University with a bachelor's degree of arts in math and economics in 1972. He then was admitted to the New York University Medical Scientist Training Program where he received both his doctor of medicine and his doctorate in economics in 1979. In 1982 he completed his residency at 	yes
Monmouth College	Orange Nash Stoddard	Orange Nash Stoddard (August 23, 1812--February 10, 1892) was a professor of natural science at Miami University and the College of Wooster who served as president pro tem of Miami University in 1854. He was born in Lisle, New York, and received his A.B. degree from Union College 1834. He earned M.A. and LL.D. degrees at Monmouth College. He joined the Miami faculty in 1845 and among his more prominent students were Benjamin Harrison, David Swing, John Willock Noble and Whitelaw Reid. At Miami, he became a faculty member of Phi Delta Theta and was known affectionately as ``Stoddy'' and ``the Little Wizard'' by his students. Stoddard and his wife, Eliza lived in a historic home at 14 South Campus Avenue in Oxford where they raised their three daughters who graduated from the Oxford Female College. He resigned in 1870 to assume a professorship at the College of Wooster where he died in 1892 while serving as professor emeritus. Stoddard Hall on the Miami campus was named for him in 1937.	 (August 23, 1812--February 10, 1892) was a professor of natural science at Miami University and the College of Wooster who served as president pro tem of Miami University in 1854. He was born in Lisle, New York, and received his A.B. degree from Union College 1834. He earned M.A. and LL.D. degrees at 	yes
University of Copenhagen	Klaus Bechgaard	Klaus Bechgaard did research at the University of Copenhagen, where he also held a Professorship in organic chemistry until 1993. From 1993 until 2000 he was the chairman of the Department of Physics and Chemistry at Risø and in 2001 he was appointed head of the newly assigned Department of Polymer Research at Risø. From 2001 and onwards he has been the head of Risø's nano technology programme, and The Danish Center of Polymers which is a joint venture between the Technical University of Copenhagen and Risø.	 did research at the 	no
Corpus Christi College, Oxford	Research Fellow	He was educated at Ampleforth College before reading History at Corpus Christi College, Oxford, where he studied for a doctorate after taking the Diploma in Celtic Studies under Sir Idris Foster. He held a Bergin Fellowship at the Dublin Institute for Advanced Studies from 1968 to 1969. He then was a Junior Research Fellow and then a Fellow in History at Corpus Christi College before being appointed to the chair of Celtic.	, where he studied for a doctorate after taking the Diploma in Celtic Studies under Sir Idris Foster. He held a Bergin Fellowship at the Dublin Institute for Advanced Studies from 1968 to 1969. He then was a Junior 	yes
University of Tartu	Mart Raud	Mart Raud attended the village school in Heimtali (today Pärsti parish) and the parish schools in Paistu and Viljandi. Later he attended the University of Tartu studying literature. In the 1920s, Raud joined the literary movement Arbujad. After the 1940 Soviet occupation of Estonia, however, he was loyal to the new regime, joined the destruction battalions in 1941 and distanced himself from his previous literary companions, many of whom were deported to Siberia. He was the father of children's writer Eno Raud.	 attended the village school in Heimtali (today Pärsti parish) and the parish schools in Paistu and Viljandi. Later he attended the 	yes
Trinity College, Dublin	Maureen Boyle	Maureen Boyle was born and raised in Sion Mills, near Strabane in County Tyrone, Northern Ireland. She studied English at Trinity College, Dublin, graduating B.A in 1984. Her poems have been published in Fortnight Magazine, The Yellow Nib, and elsewhere. She is married to the Belfast journalist and writer Malachi O'Doherty.	 was born and raised in Sion Mills, near Strabane in County Tyrone, Northern Ireland. She studied English at 	no
Miami University	William B. Caldwell	William B. Caldwell was born on a Butler County, Ohio farm, where he stayed his first 21 years. He entered Miami University at Oxford, Ohio in 1830, and graduated in 1835. He studied law under John Woods of Hamilton, Ohio, and was admitted to the bar in 1837. He began practice in Xenia, Ohio and moved to Cincinnati, Ohio the next year. There he formed a partnership with General Samuel F. Cary.	 was born on a Butler County, Ohio farm, where he stayed his first 21 years. He entered 	no
Cyfarthfa High School	Shivanthini Dharmasiri	Shivanthini Dharmasiri is a Sri Lankan science graduate who was crowned as Miss Universe Sri-Lanka at the premier beauty pageant held on March 31, 1996, in Colombo, Sri Lanka. Shivanthini migrated to the UK in 1976 with her family and has had the opportunity to experience cultures of both the East and West. During her time in Sri Lanka she attended Ladies College in Colombo and in the UK, Cyfarthfa High School in Merthyr Tydfil. She was one of only three asian students in the school and was proud to be elected as head-girl in 1987 by both staff and fellow pupils.	 is a Sri Lankan science graduate who was crowned as Miss Universe Sri-Lanka at the premier beauty pageant held on March 31, 1996, in Colombo, Sri Lanka. Shivanthini migrated to the UK in 1976 with her family and has had the opportunity to experience cultures of both the East and West. During her time in Sri Lanka she attended Ladies College in Colombo and in the UK, 	yes
Northwestern University	Tesfaye Gessesse	Tesfaye Gessesse started his career in the 1950s, when he produced his first plays in Addis Ababa. During the early 1960s, he studied at Northwestern University's theater school, in Evanston, Illinois. He was the only black student enrolled in that department. One of his one-act plays was produced by the department, but the program notes were read aloud from the stage, prior to the performance, so that their ``revolutionary'' content would not be reported to the monarchist government which was paying his tuition.	 started his career in the 1950s, when he produced his first plays in Addis Ababa. During the early 1960s, he studied at 	yes
Blundell's School	Charles Harper	Sir Charles Harper (1876-1950), OBE (1919) KBE (1930) CMG (1921), was born on the 24 February 1876 in Barnstaple, Devon, England. He was educated at Blundell's School in Tiverton, and Exeter College, Oxford, and played rugby football for Oxford University and England.	 (1876-1950), OBE (1919) KBE (1930) CMG (1921), was born on the 24 February 1876 in Barnstaple, Devon, England. He was educated at 	yes
Penfield High School	Joe Mercik	Joe Mercik is a former professional footballer who played for the Rochester Rhinos among other teams. He graduated from Penfield High School in 1993 whereupon he took his talents to the University of Buffalo. Following his collegiate career, he was signed by and played for the Rhinos, before leaving the states to play with Germany. After his spell overseas, he returned to the USL playing for the Cincinnati Riverhawks.	 is a former professional footballer who played for the Rochester Rhinos among other teams. He graduated from 	yes
Pratt Institute	Lois Conner	Lois Conner received her BFA in photography from the Pratt Institute. At Yale University, where she received her MFA, she met and studied with Tod Papageorge and Richard Benson. She moved to New York City in 1971 where she worked for the United Nations until 1984.	 received her BFA in photography from the 	no
University of California, Davis	Max Schott	Max Schott (12 February 1935 -- ) is a writer of stories and essays. He was raised in Southern California. He received his Bachelor's in Animal Husbandry from University of California, Davis and his Master's in English from the University of California, Santa Barbara. He was a lecturer in Literature for more than 30 years at the College of Creative Studies at UCSB.	 (12 February 1935 -- ) is a writer of stories and essays. He was raised in Southern California. He received his Bachelor's in Animal Husbandry from 	no
Bentley University	Todd J. Leach	Dr. Todd J. Leach began his education at Mass Bay Community College, where he received a distinguished alumni award in 2011. He continued on to Worcester State College, graduating with a Bachelor of Science in 1983 and then to Bentley University where he earned his Master of Business Administration and graduated in the top ten of his MBA class in 1985. Focusing on the changing competitive and political environment of higher education, Dr. Leach earned his PhD from Northeastern University in 2008. Dr. Leach has also completed professional development programs at Harvard University through their Graduate School of Education.	 began his education at Mass Bay Community College, where he received a distinguished alumni award in 2011. He continued on to Worcester State College, graduating with a Bachelor of Science in 1983 and then to 	no
St. Paul's School	Peter Ala Adjetey	Peter Ala Adjetey was born on August 11, 1931 at Accra, the capital of Ghana. He obtained his basic education at St. Paul's School at La, a suburb of Accra and the Accra Bishop Boys' School. His secondary education was at Accra Academy. He proceeded to the University College of the Gold Coast (now the University of Ghana), where he obtained the University of London intermediate Bachelor of Arts degree in 1954. He then proceeded to the United Kingdom, where he graduated with a Bachelor of Laws degree from University of Nottingham in 1958. Adjetey was called to the Bar at Middle Temple in London in 1959. He returned to Ghana in the same year where he was also called to the bar.	 was born on August 11, 1931 at Accra, the capital of Ghana. He obtained his basic education at 	no
United States Naval Academy	John Wistar Simpson	In 1961, NASA's Space Nuclear Propulsion Office, in conjunction with the Atomic Energy Commission, jointly awarded Aerojet General Corporation the prime contract for its Nuclear Engine for Rocket Vehicle Application NERVA Program, with a significant subcontract to WANL for development of the reactor itself. With the award, WANL selected the Large site as the base for operations and moved its personnel to the facility. Originally authorized in May 1959, WANL officially became a Westinghouse division on July 26, 1959 under the leadership of John Wistar Simpson. Cornell University physicist Sidney Krasik served as the first technical director and Frank Cotter was the first marketing director. Born in 1914, Simpson graduated from the United States Naval Academy in 1937 and earned an MS from from the University of Pittsburgh in 1941. Working in the switchgear division of Westinghouse's East Pittsburgh plant, Simpson helped develop the electric switchboards that could survive the extreme impacts experienced by naval vessels in the Pacific Theater during World War II. In 1946, he took a leave of absence to work at Oak Ridge National Laboratory to familiarize himself with atomic power. Upon his return, he became assistant manager in the engineering deportment of the Westinghouse Bettis Atomic Power Laboratory. He subsequently managed the construction of the Shippingport Atomic Power Station in 1954, the first commercial nuclear power plant in the United States. Promoted the next year to general manager of the Bettis Laboratory, he was elected a Westinghouse vice president in 1958 and by 1959 was eager to take on the new challenge of developing nuclear rocket engines to enable the exploration of the solar system.	. Cornell University physicist Sidney Krasik served as the first technical director and Frank Cotter was the first marketing director. Born in 1914, Simpson graduated from the 	yes
University of New Hampshire	Guy Smith	Prior to turning professional, Smith attended the University of New Hampshire where he played four seasons of NCAA Division I ice hockey with the New Hampshire Wildcats men's ice hockey team. A star player for the Wildcats, Smith has been honoured with the Guy Smith Award which is presented annually annually to the team's best offensive player.	 where he played four seasons of NCAA Division I ice hockey with the New Hampshire Wildcats men's ice hockey team. A star player for the Wildcats, Smith has been honoured with the 	yes
Howard University	Robert Brown	Born Robert Brown in New York, New York, he is best known for his work on the stage. He attended Howard University where he earned a BA in theater. He also studied method acting at the Actor's Studio in New York. He began his career as a Shakespearean actor at Guthrie Theater where he appeared in productions like Hamlet and Richard III. Brown was an original member of Negro Ensemble Company (NEC) and played in many NEC productions like: Malcochon by Derek Walcott, Ceremonies in Dark Old Men by Lonnie Elder III, District Line and The River Niger both by Joseph A Walker. He was part of the original cast of controversial play Song of the Lusitanian Bogey by Peter Weiss which toured Europe and was subject to a riot in a London theatre in August 1968. Graham Brown was often cast as professional and/or highly educated people such as doctors and clergymen.	 in New York, New York, he is best known for his work on the stage. He attended 	yes
Carnegie Mellon College of Fine Arts	Matthew Stocke	Matthew Stocke (born on December 21, 1971) is an American stage and television actor. His hometown is Pittsburgh, Pennsylvania. He moved to New York City in 1996 as he began his professional career and educational company. He graduated from the Carnegie Mellon College of Fine Arts in 1995 with a BFA in Acting/Musical Theatre, where he occasionally returns as a guest instructor.	 (born on December 21, 1971) is an American stage and television actor. His hometown is Pittsburgh, Pennsylvania. He moved to New York City in 1996 as he began his professional career and educational company. He graduated from the 	yes
Cherrybrook Technology High School	Michael Guy Chislett	Michael Guy Chislett was born on 6 April 1982 in Skipton, Victoria, a small country town in Australia. In 1992, he and his family moved to Sydney, where he attended Cherrybrook Technology High School. He dropped out in Year 10 to spend more time on music. In 2003, he moved to London with Newcastle band Paperadio. A few months later he moved to Los Angeles. Michael is a vegetarian. Michael is a Christian, and has been in several Christian Bands, such as Hillsong United.	 was born on 6 April 1982 in Skipton, Victoria, a small country town in Australia. In 1992, he and his family moved to Sydney, where he attended 	yes
Temple University	I. Raymond Kremer	I. Raymond Kremer was born January 28, 1921 in Philadelphia, Pennsylvania. He graduated from Temple University (1942), and Temple University School of Law (1948). He attended Indiana University for additional studies on Constitutional law. He served in the United States Army from 1943--1946 and was discharged as a First Lieutenant, JAG.	 was born January 28, 1921 in Philadelphia, Pennsylvania. He graduated from 	yes
University of California	Roberto Refinetti	Roberto Refinetti was born in São Paulo, Brazil on November 19, 1957. After attending a selective Catholic school for primary and secondary education, he went to two universities simultaneously and earned a baccalaureate degree in philosophy from the Pontifical Catholic University and a baccalaureate degree in psychology from the University of São Paulo, both in 1981. He earned a master's degree in experimental psychology at the University of São Paulo two years later and then traveled to California, where he completed a doctoral program in psychology (with concentration in biopsychology) at the University of California, Santa Barbara in 1987.	 was born in São Paulo, Brazil on November 19, 1957. After attending a selective Catholic school for primary and secondary education, he went to two universities simultaneously and earned a baccalaureate degree in philosophy from the Pontifical Catholic University and a baccalaureate degree in psychology from the University of São Paulo, both in 1981. He earned a master's degree in experimental psychology at the University of São Paulo two years later and then traveled to California, where he completed a doctoral program in psychology (with concentration in biopsychology) at the 	no
Winchester College	Anderson	Anderson was educated at Winchester College and University College, Oxford, graduating in 1899 with honours in Modern History. He became an assistant master at a school in Eastbourne, but in 1903 joined the Transvaal Education Department.	 was educated at 	yes
